Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /projects,3301,0,11,13.779907262037952,7.56657300007646,211.09449400000813,3653.0,11.004257109704414,0.0,11,13,15,16,21,27,38,71,120,210,210
GET,GET /submissions,1655,0,10,13.449865445923944,7.590575999984139,196.88376600015545,4910.0,5.517129814165648,0.0,10,12,15,17,22,27,35,52,110,200,200
GET,GET /tasks,2468,0,11,13.825826635733701,8.017286000267632,208.8045109999257,4741.0,8.227357330127383,0.0,11,13,15,16,21,27,37,50,200,210,210
GET,GET /teams,2467,0,9,12.7459925378987,7.1157359998323955,210.58220099985192,3877.0,8.224023716946618,0.0,9,12,14,16,20,26,36,57,110,210,210
GET,GET /users,4094,0,8,10.215532167810206,5.830276000324375,187.3610549996556,5816.0,13.647812362050853,0.0,8,10,11,13,16,20,27,37,77,190,190
GET,GET /users/search,765,0,7,9.012973628757084,5.003827000109595,55.593027000213624,327.6640522875817,2.5502140832850277,0.0,7,9,11,12,15,19,24,28,56,56,56
,Aggregated,14750,0,10,12.341072436202875,5.003827000109595,211.09449400000813,4441.445220338983,49.170794416279946,0.0,10,12,14,15,20,25,34,50,120,210,210
