Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /projects,628,0,12,14.758106861456477,7.536674999755633,99.55595900009939,3653.0,5.267833772619317,0.0,12,15,18,19,25,32,42,46,100,100,100
GET,GET /submissions,286,0,10,14.27615558042079,7.685878000302182,64.24969900035649,4910.0,2.3990453168298163,0.0,10,14,16,18,25,33,47,53,64,64,64
GET,GET /tasks,498,0,12,14.697946939763659,8.22131899985834,94.5987340001011,4741.0,4.177358628605764,0.0,12,14,17,18,23,34,44,52,95,95,95
GET,GET /teams,496,0,11,14.56908947582105,7.047501999750239,74.21831600004225,3877.0,4.160582087928632,0.0,11,15,18,20,27,34,40,53,74,74,74
GET,GET /users,817,0,8,11.471471981649847,5.951730000106181,75.4417180000928,5816.0,6.853216866608252,0.0,8,11,13,15,19,27,34,38,75,75,75
GET,GET /users/search,154,0,8,10.50660114934875,5.172467000193137,49.77681299988035,323.6753246753247,1.291793632139132,0.0,8,11,12,14,18,23,27,42,50,50,50
,Aggregated,2879,0,10,13.50716455262666,5.172467000193137,99.55595900009939,4440.386245224036,24.149830304730912,0.0,10,13,16,18,23,31,41,47,90,100,100
